title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
Army Corps of Hell,Entersphere,Square Enix,Action,No,,,,,,,,
Asdivine Dios,EXE Create,Kemco,Role-playing,No,,,,,,,,
Asdivine Hearts,Kotobuki Solution,Kemco,Role-playing,Yes,,,,,,,,
Asdivine Hearts II,Kotobuki Solution,Kemco,Role-playing,Yes,,,,,,,,
Asdivine Menace,Kotobuki Solution,Kemco,Role-playing,Yes,,,,,,,,
Asphalt: Injection,Gameloft,JP : Konami WW : Ubisoft,Racing,No,,,,,,,,
Assassin's Creed Chronicles Trilogy Pack,Climax Studios,Ubisoft,Platform,Yes,,,,,,,,
Assassin's Creed III: Liberation,Ubisoft Sofia Ubisoft Milan Ubisoft Montreal,Ubisoft,Action,No,,,,,,,,
Assault Gunners,Artdink,Marvelous AQL,Action,Yes,,,,,,,,
AstralAir no Shiroki Towa: White Eternity,Favorite,Dramatic Create,Visual novel,Yes,,,,,,,,
Astro Aqua Kitty,Tikipod Limited,Tikipod Limited,Shooter,No,,,,,,,,
